Year,Average Temp,Days Over 90,Days Under 32,Fips Code
2000,66.6,33.0,19.0,01003
2000,62.0,74.33333333333333,50.0,01007
2000,62.70000000000001,46.333333333333336,57.0,01011
2000,62.29999999999999,54.0,57.333333333333336,01015
2000,61.1,55.0,63.333333333333336,01017
2000,61.9,44.333333333333336,66.66666666666667,01021
2000,64.3,72.66666666666667,59.666666666666664,01023
2000,64.2,46.666666666666664,42.333333333333336,01025
2000,59.70000000000001,33.333333333333336,67.33333333333333,01029
2000,60.70000000000001,52.666666666666664,36.333333333333336,01033
2000,64.9,55.333333333333336,47.0,01035
2000,64.7,72.33333333333333,47.333333333333336,01039
2000,64.4,55.0,47.0,01041
2000,65.5,20.0,22.0,01043
2000,63.4,63.666666666666664,28.666666666666668,01047
2000,59.5,35.333333333333336,55.333333333333336,01049
2000,63.4,47.333333333333336,54.0,01051
2000,65.7,50.0,43.333333333333336,01053
2000,61.9,60.333333333333336,41.666666666666664,01055
2000,61.4,48.666666666666664,60.0,01057
2000,65.6,82.0,61.666666666666664,01061
2000,63.0,66.66666666666667,51.666666666666664,01063
2000,64.1,98.0,37.0,01065
2000,65.1,86.0,39.0,01067
2000,60.20000000000001,53.333333333333336,43.333333333333336,01071
2000,63.4,71.33333333333333,61.333333333333336,01073
2000,60.79999999999999,41.0,70.33333333333333,01079
2000,63.5,35.0,58.666666666666664,01081
2000,60.4,38.666666666666664,53.0,01083
2000,63.4,53.333333333333336,55.333333333333336,01087
2000,60.70000000000001,28.666666666666668,54.333333333333336,01089
2000,60.9,56.0,73.0,01091
2000,59.9,47.333333333333336,81.33333333333333,01093
2000,61.29999999999999,36.666666666666664,52.333333333333336,01095
2000,65.6,29.333333333333332,38.666666666666664,01097
2000,64.4,44.666666666666664,28.333333333333332,01101
2000,64.2,50.666666666666664,45.666666666666664,01109
2000,63.1,50.666666666666664,56.666666666666664,01117
2000,63.0,62.666666666666664,51.0,01119
2000,63.70000000000001,81.33333333333333,59.333333333333336,01121
2000,64.9,65.66666666666667,51.333333333333336,01125
2000,60.79999999999999,62.666666666666664,53.333333333333336,01127
2000,65.6,69.33333333333333,57.0,01129
2000,64.8,73.33333333333333,50.0,01131
2000,64.8,20.0,32.0,01133
2000,38.7,18.666666666666668,107.33333333333333,02013
2000,36.5,0.0,156.33333333333334,02016
2000,38.7,0.0,130.0,02020
2000,30.600000000000005,0.0,201.0,02050
2000,35.1,0.0,217.66666666666666,02060
2000,27.600000000000005,0.0,216.0,02068
2000,32.5,0.0,238.33333333333334,02090
2000,37.0,0.0,221.33333333333334,02100
2000,43.1,0.0,135.66666666666666,02110
2000,36.9,0.0,167.0,02122
2000,45.4,0.0,151.66666666666666,02130
2000,39.7,0.0,121.66666666666667,02150
2000,37.7,0.0,162.0,02164
2000,37.1,0.0,192.33333333333334,02170
2000,25.7,0.0,214.66666666666666,02180
2000,11.1,0.0,263.6666666666667,02185
2000,23.3,0.0,264.6666666666667,02188
2000,44.70000000000001,0.0,174.0,02220
2000,21.2,0.0,159.66666666666666,02240
2000,39.1,0.0,253.66666666666666,02261
2000,40.3,0.0,197.66666666666666,02282
2000,26.100000000000005,0.0,195.66666666666666,02290
2000,45.5,0.0,238.0,04001
2000,62.29999999999999,107.33333333333333,129.33333333333334,04003
2000,44.1,45.666666666666664,147.66666666666666,04005
2000,51.1,98.33333333333333,222.66666666666666,04007
2000,66.7,141.66666666666666,69.66666666666667,04009
2000,61.9,147.33333333333334,92.33333333333333,04011
2000,71.5,141.0,43.666666666666664,04012
2000,71.0,160.0,27.666666666666668,04013
2000,75.2,163.66666666666666,12.0,04015
2000,48.6,47.0,81.0,04017
2000,68.5,111.0,115.33333333333333,04019
2000,71.8,168.66666666666666,8.333333333333334,04021
2000,58.6,86.0,42.0,04023
2000,64.6,128.66666666666666,74.0,04025
2000,74.5,164.0,58.0,04027
2000,62.70000000000001,103.66666666666667,15.333333333333334,05001
2000,62.0,72.66666666666667,44.0,05003
2000,59.0,70.66666666666667,69.0,05005
2000,57.70000000000001,58.333333333333336,81.33333333333333,05007
2000,58.29999999999999,56.333333333333336,75.33333333333333,05009
2000,62.4,59.333333333333336,85.0,05013
2000,63.9,84.0,53.333333333333336,05017
2000,60.4,71.66666666666667,65.66666666666667,05023
2000,60.4,73.0,71.66666666666667,05029
2000,60.6,72.33333333333333,70.33333333333333,05031
2000,60.20000000000001,85.0,68.0,05033
2000,61.79999999999999,61.333333333333336,68.66666666666667,05035
2000,60.9,65.66666666666667,54.333333333333336,05037
2000,61.20000000000001,60.0,53.333333333333336,05039
2000,63.20000000000001,70.66666666666667,54.666666666666664,05041
2000,62.79999999999999,76.33333333333333,42.0,05043
2000,60.4,75.66666666666667,61.333333333333336,05047
2000,59.79999999999999,56.0,82.66666666666667,05051
2000,61.5,71.33333333333333,69.66666666666667,05053
2000,60.79999999999999,74.33333333333333,64.0,05055
2000,61.70000000000001,65.66666666666667,61.333333333333336,05057
2000,63.0,77.33333333333333,52.0,05059
2000,63.1,83.0,50.666666666666664,05061
2000,62.4,95.66666666666667,60.0,05063
2000,58.5,69.66666666666667,81.66666666666667,05065
2000,61.9,75.0,78.0,05067
2000,63.0,64.0,53.333333333333336,05069
2000,61.79999999999999,66.66666666666667,62.0,05075
2000,62.1,56.333333333333336,53.666666666666664,05077
2000,63.1,66.33333333333333,40.666666666666664,05079
2000,61.70000000000001,88.33333333333333,58.333333333333336,05083
2000,63.0,66.33333333333333,61.333333333333336,05085
2000,59.5,56.0,58.333333333333336,05087
