Year,Days with > 0.1 inch of Precipitation,Extreme maximum precipitation,Days with snow depth > 1 inch,Fips Code
2000,67.0,3.6,0.0,01001
2000,115.0,3.41,0.0,01003
2000,100.0,6.206666666666667,0.3333333333333333,01005
2000,109.0,4.58,0.6666666666666666,01007
2000,94.0,4.85,0.0,01009
2000,71.0,6.62,0.0,01011
2000,89.0,4.623333333333333,0.0,01013
2000,112.0,2.8499999999999996,0.0,01015
2000,106.0,2.8266666666666667,0.0,01017
2000,67.0,4.010000000000001,0.0,01021
2000,61.0,3.483333333333333,0.0,01023
2000,92.0,3.78,0.0,01025
2000,114.0,4.3933333333333335,0.3333333333333333,01027
2000,130.0,2.8633333333333333,1.0,01029
2000,97.0,3.35,0.6666666666666666,01031
2000,131.0,3.3,0.0,01033
2000,115.0,4.126666666666666,0.0,01035
2000,95.0,3.8200000000000003,0.0,01039
2000,95.0,2.6599999999999997,0.0,01041
2000,120.0,3.31,0.0,01043
2000,120.0,3.676666666666667,0.0,01047
2000,109.0,3.0766666666666667,0.6666666666666666,01049
2000,115.0,4.266666666666667,1.3333333333333333,01051
2000,118.0,3.7966666666666664,0.0,01053
2000,123.0,2.5900000000000003,0.0,01055
2000,101.0,2.6266666666666665,0.0,01057
2000,112.0,4.61,0.0,01059
2000,106.0,3.966666666666667,0.0,01061
2000,103.0,3.3866666666666667,0.0,01063
2000,99.0,3.6999999999999997,0.0,01065
2000,107.0,3.6799999999999997,0.0,01067
2000,97.0,3.543333333333333,0.0,01071
2000,107.0,4.433333333333333,1.3333333333333333,01073
2000,76.0,4.006666666666667,1.3333333333333333,01075
2000,120.0,3.7833333333333337,1.3333333333333333,01079
2000,110.0,4.37,0.0,01081
2000,125.0,3.2733333333333334,0.3333333333333333,01083
2000,115.0,3.1833333333333336,1.3333333333333333,01087
2000,112.0,4.029999999999999,0.0,01089
2000,98.0,3.3800000000000003,1.3333333333333333,01091
2000,108.0,5.25,0.3333333333333333,01093
2000,122.0,2.9966666666666666,0.6666666666666666,01095
2000,85.0,5.95,0.0,01097
2000,111.0,4.34,0.0,01099
2000,95.0,2.5,0.0,01101
2000,98.0,2.68,0.0,01103
