Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 20102","July 1, 20103"
Delaware,"783,559","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","897,934","899,769"
.Kent County,"126,771","127,229","129,228","131,824","134,605","139,342","144,585","149,704","153,969","157,925","160,081","162,310","162,912"
.New Castle County,"500,294","501,837","506,026","510,158","514,769","518,944","523,343","527,174","530,555","533,958","536,898","538,479","538,986"
.Sussex County,"156,494","157,307","160,445","164,187","168,629","172,517","177,222","182,390","187,225","191,991","194,751","197,145","197,871"
