Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 20102","July 1, 20103"
District of Columbia,"572,086","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","601,723","604,453"
.District of Columbia,"572,086","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","601,723","604,453"
