Year,Days with > 0.1 inch of Precipitation,Extreme maximum precipitation,Days with snow depth > 1 inch,Fips Code
2001,67.0,3.6,0.0,01001
2001,115.0,3.41,0.0,01003
2001,100.0,6.206666666666667,0.3333333333333333,01005
2001,109.0,4.58,0.6666666666666666,01007
2001,94.0,4.85,0.0,01009
2001,71.0,6.62,0.0,01011
2001,89.0,4.623333333333333,0.0,01013
2001,112.0,2.8499999999999996,0.0,01015
2001,106.0,2.8266666666666667,0.0,01017
2001,67.0,4.010000000000001,0.0,01021
2001,61.0,3.483333333333333,0.0,01023
2001,92.0,3.78,0.0,01025
2001,114.0,4.3933333333333335,0.3333333333333333,01027
2001,130.0,2.8633333333333333,1.0,01029
2001,97.0,3.35,0.6666666666666666,01031
2001,131.0,3.3,0.0,01033
2001,115.0,4.126666666666666,0.0,01035
2001,95.0,3.8200000000000003,0.0,01039
2001,95.0,2.6599999999999997,0.0,01041
2001,120.0,3.31,0.0,01043
2001,120.0,3.676666666666667,0.0,01047
2001,109.0,3.0766666666666667,0.6666666666666666,01049
2001,115.0,4.266666666666667,1.3333333333333333,01051
2001,118.0,3.7966666666666664,0.0,01053
2001,123.0,2.5900000000000003,0.0,01055
2001,101.0,2.6266666666666665,0.0,01057
2001,112.0,4.61,0.0,01059
2001,106.0,3.966666666666667,0.0,01061
2001,103.0,3.3866666666666667,0.0,01063
2001,99.0,3.6999999999999997,0.0,01065
2001,107.0,3.6799999999999997,0.0,01067
2001,97.0,3.543333333333333,0.0,01071
2001,107.0,4.433333333333333,1.3333333333333333,01073
2001,76.0,4.006666666666667,1.3333333333333333,01075
2001,120.0,3.7833333333333337,1.3333333333333333,01079
2001,110.0,4.37,0.0,01081
2001,125.0,3.2733333333333334,0.3333333333333333,01083
2001,115.0,3.1833333333333336,1.3333333333333333,01087
2001,112.0,4.029999999999999,0.0,01089
2001,98.0,3.3800000000000003,1.3333333333333333,01091
2001,108.0,5.25,0.3333333333333333,01093
2001,122.0,2.9966666666666666,0.6666666666666666,01095
2001,85.0,5.95,0.0,01097
2001,111.0,4.34,0.0,01099
2001,95.0,2.5,0.0,01101
2001,98.0,2.68,0.0,01103
2001,112.0,3.0933333333333337,0.0,01105
2001,107.0,3.186666666666666,0.0,01107
2001,100.0,5.006666666666667,0.0,01109
2001,52.0,2.0,0.0,01111
2001,125.0,3.063333333333334,0.0,01117
2001,103.0,3.86,0.0,01119
2001,110.0,4.333333333333333,0.0,01121
2001,104.0,2.983333333333333,0.0,01123
2001,119.0,3.5866666666666664,0.0,01125
2001,101.0,5.013333333333333,0.0,01127
2001,66.0,6.05,0.0,01129
2001,109.0,4.45,0.0,01131
2001,93.0,3.1199999999999997,0.0,01133
2001,260.0,3.3200000000000003,12.0,02013
2001,172.0,1.2233333333333334,16.333333333333332,02016
2001,217.0,4.233333333333333,35.0,02020
2001,143.0,2.6666666666666665,50.0,02050
2001,142.0,0.9700000000000001,21.0,02060
2001,130.0,0.8233333333333334,25.333333333333332,02068
2001,100.0,1.0566666666666666,16.666666666666668,02090
2001,210.0,1.9433333333333334,35.666666666666664,02100
2001,258.0,2.25,37.333333333333336,02110
2001,102.0,2.466666666666667,25.666666666666668,02122
2001,266.0,2.17,28.666666666666668,02130
2001,214.0,2.6133333333333333,19.666666666666668,02150
2001,175.0,3.2699999999999996,24.333333333333332,02164
2001,123.0,1.0133333333333334,31.666666666666668,02170
2001,50.0,0.7833333333333332,25.0,02180
2001,53.0,0.6666666666666666,33.666666666666664,02185
2001,99.0,0.6866666666666666,10.0,02188
2001,264.0,1.4300000000000002,37.0,02220
2001,56.0,4.243333333333333,31.666666666666668,02240
2001,205.0,2.0633333333333335,22.333333333333332,02261
2001,259.0,3.5533333333333332,54.333333333333336,02282
2001,100.0,2.0066666666666664,33.333333333333336,02290
2001,93.0,1.1866666666666668,15.0,04001
2001,55.0,1.2166666666666666,10.0,04003
2001,94.0,1.1633333333333333,12.0,04005
2001,50.0,1.3533333333333335,10.0,04007
2001,78.0,3.3499999999999996,0.6666666666666666,04009
2001,93.0,1.6633333333333333,2.6666666666666665,04011
2001,35.0,1.32,5.333333333333333,04012
2001,19.0,1.0633333333333332,0.0,04013
2001,51.0,0.8933333333333334,0.3333333333333333,04015
2001,29.0,0.85,10.666666666666666,04017
2001,49.0,1.2866666666666668,8.0,04019
2001,37.0,1.2566666666666666,0.0,04021
2001,53.0,1.6300000000000001,0.0,04023
2001,53.0,1.4166666666666667,1.6666666666666667,04025
2001,11.0,1.3433333333333335,0.0,04027
2001,71.0,5.416666666666667,0.0,05001
2001,100.0,4.57,0.0,05003
2001,108.0,2.73,1.0,05005
2001,79.0,2.6466666666666665,1.0,05007
2001,49.0,3.14,1.3333333333333333,05009
2001,107.0,3.8033333333333332,1.6666666666666667,05011
2001,95.0,3.7900000000000005,1.0,05013
2001,82.0,2.6666666666666665,0.6666666666666666,05015
2001,100.0,3.733333333333333,0.0,05017
2001,76.0,4.06,0.6666666666666666,05019
2001,102.0,4.413333333333333,0.6666666666666666,05021
2001,91.0,2.7133333333333334,1.3333333333333333,05023
2001,113.0,5.57,0.3333333333333333,05027
2001,95.0,3.8066666666666666,0.6666666666666666,05029
2001,98.0,3.7533333333333334,0.0,05031
2001,77.0,3.4566666666666666,0.0,05033
2001,109.0,5.426666666666667,0.0,05035
2001,97.0,4.013333333333333,0.0,05037
2001,115.0,4.066666666666666,0.0,05039
2001,65.0,3.8466666666666662,0.0,05041
2001,73.0,6.69,0.0,05043
2001,96.0,2.4766666666666666,0.0,05045
