Geographic Area,Pop_2000,State
.Washington County,"13,589",North Carolina
.Watauga County,"43,853",North Carolina
.Wayne County,"113,934",North Carolina
.Wilkes County,"66,694",North Carolina
.Wilson County,"74,232",North Carolina
.Yadkin County,"36,837",North Carolina
.Yancey County,"17,789",North Carolina
.Adams County,"2,542",North Dakota
.Barnes County,"11,446",North Dakota
.Benson County,"6,898",North Dakota
.Billings County,877,North Dakota
.Bottineau County,"6,995",North Dakota
.Bowman County,"3,118",North Dakota
.Burke County,"2,183",North Dakota
.Burleigh County,"70,121",North Dakota
.Cass County,"125,520",North Dakota
.Cavalier County,"4,696",North Dakota
.Dickey County,"5,683",North Dakota
.Divide County,"2,176",North Dakota
.Dunn County,"3,582",North Dakota
.Eddy County,"2,683",North Dakota
.Emmons County,"4,208",North Dakota
.Foster County,"3,639",North Dakota
.Golden Valley County,"1,862",North Dakota
.Grand Forks County,"65,567",North Dakota
.Grant County,"2,783",North Dakota
.Griggs County,"2,645",North Dakota
.Hettinger County,"2,658",North Dakota
.Kidder County,"2,652",North Dakota
.LaMoure County,"4,642",North Dakota
.Logan County,"2,229",North Dakota
.McHenry County,"5,854",North Dakota
.McIntosh County,"3,349",North Dakota
.McKenzie County,"5,647",North Dakota
.McLean County,"9,261",North Dakota
.Mercer County,"8,542",North Dakota
.Morton County,"25,143",North Dakota
.Mountrail County,"6,625",North Dakota
.Nelson County,"3,578",North Dakota
.Oliver County,"1,989",North Dakota
.Pembina County,"8,376",North Dakota
.Pierce County,"4,610",North Dakota
.Ramsey County,"11,822",North Dakota
.Ransom County,"5,855",North Dakota
.Renville County,"2,551",North Dakota
.Richland County,"17,624",North Dakota
.Rolette County,"13,718",North Dakota
.Sargent County,"4,320",North Dakota
.Sheridan County,"1,641",North Dakota
.Sioux County,"4,036",North Dakota
.Slope County,749,North Dakota
.Stark County,"22,494",North Dakota
.Steele County,"2,186",North Dakota
.Stutsman County,"21,664",North Dakota
.Towner County,"2,774",North Dakota
.Traill County,"8,357",North Dakota
.Walsh County,"12,150",North Dakota
.Ward County,"58,246",North Dakota
.Wells County,"4,886",North Dakota
.Williams County,"19,610",North Dakota
.Adams County,"27,522",Ohio
.Allen County,"108,523",Ohio
.Ashland County,"52,560",Ohio
.Ashtabula County,"102,450",Ohio
.Athens County,"62,997",Ohio
.Auglaize County,"46,137",Ohio
.Belmont County,"69,901",Ohio
.Brown County,"42,839",Ohio
.Butler County,"336,679",Ohio
.Carroll County,"28,961",Ohio
.Champaign County,"39,047",Ohio
.Clark County,"143,803",Ohio
.Clermont County,"179,845",Ohio
.Clinton County,"40,777",Ohio
.Columbiana County,"111,370",Ohio
.Coshocton County,"36,975",Ohio
.Crawford County,"46,533",Ohio
.Cuyahoga County,"1,382,520",Ohio
.Darke County,"53,110",Ohio
.Defiance County,"39,456",Ohio
.Delaware County,"118,646",Ohio
.Erie County,"79,308",Ohio
.Fairfield County,"126,245",Ohio
.Fayette County,"28,310",Ohio
.Franklin County,"1,082,938",Ohio
.Fulton County,"42,169",Ohio
.Gallia County,"31,017",Ohio
.Geauga County,"91,429",Ohio
.Greene County,"149,643",Ohio
.Guernsey County,"40,860",Ohio
.Hamilton County,"840,335",Ohio
.Hancock County,"71,972",Ohio
.Hardin County,"31,753",Ohio
.Harrison County,"15,796",Ohio
.Henry County,"29,055",Ohio
.Highland County,"41,295",Ohio
.Hocking County,"28,452",Ohio
.Holmes County,"39,805",Ohio
.Huron County,"59,620",Ohio
.Jackson County,"32,670",Ohio
.Jefferson County,"73,043",Ohio
.Knox County,"55,460",Ohio
.Lake County,"227,648",Ohio
.Lawrence County,"61,965",Ohio
.Licking County,"148,226",Ohio
.Logan County,"45,865",Ohio
.Lorain County,"285,827",Ohio
.Lucas County,"454,855",Ohio
.Madison County,"40,256",Ohio
.Mahoning County,"255,264",Ohio
.Marion County,"66,156",Ohio
.Medina County,"154,363",Ohio
.Meigs County,"23,119",Ohio
.Mercer County,"40,819",Ohio
.Miami County,"99,300",Ohio
.Monroe County,"15,107",Ohio
.Montgomery County,"555,536",Ohio
.Morgan County,"14,942",Ohio
.Morrow County,"32,438",Ohio
.Muskingum County,"84,789",Ohio
.Noble County,"13,857",Ohio
.Ottawa County,"41,015",Ohio
.Paulding County,"20,183",Ohio
.Perry County,"34,375",Ohio
.Pickaway County,"52,344",Ohio
.Pike County,"27,807",Ohio
.Portage County,"153,554",Ohio
.Preble County,"42,427",Ohio
.Putnam County,"34,746",Ohio
.Richland County,"128,187",Ohio
.Ross County,"73,840",Ohio
.Sandusky County,"61,788",Ohio
.Scioto County,"78,784",Ohio
.Seneca County,"58,376",Ohio
.Shelby County,"48,662",Ohio
.Stark County,"377,295",Ohio
.Summit County,"544,554",Ohio
.Trumbull County,"223,991",Ohio
.Tuscarawas County,"91,319",Ohio
.Union County,"42,859",Ohio
.Van Wert County,"29,430",Ohio
.Vinton County,"12,966",Ohio
.Warren County,"167,851",Ohio
.Washington County,"62,847",Ohio
.Wayne County,"112,161",Ohio
.Williams County,"39,085",Ohio
.Wood County,"122,013",Ohio
.Wyandot County,"22,787",Ohio
.Adair County,"21,101",Oklahoma
.Alfalfa County,"5,933",Oklahoma
.Atoka County,"13,816",Oklahoma
.Beaver County,"5,657",Oklahoma
.Beckham County,"19,937",Oklahoma
.Blaine County,"11,915",Oklahoma
.Bryan County,"36,577",Oklahoma
.Caddo County,"29,677",Oklahoma
.Canadian County,"89,931",Oklahoma
.Carter County,"45,455",Oklahoma
.Cherokee County,"43,066",Oklahoma
.Choctaw County,"15,165",Oklahoma
.Cimarron County,"3,009",Oklahoma
.Cleveland County,"213,414",Oklahoma
.Coal County,"6,010",Oklahoma
.Comanche County,"113,551",Oklahoma
.Cotton County,"6,404",Oklahoma
.Craig County,"14,768",Oklahoma
.Creek County,"67,768",Oklahoma
.Custer County,"25,778",Oklahoma
.Delaware County,"37,606",Oklahoma
.Dewey County,"4,645",Oklahoma
.Ellis County,"3,923",Oklahoma
.Garfield County,"57,279",Oklahoma
.Garvin County,"27,034",Oklahoma
.Grady County,"45,856",Oklahoma
.Grant County,"5,047",Oklahoma
.Greer County,"5,894",Oklahoma
.Harmon County,"3,153",Oklahoma
.Harper County,"3,444",Oklahoma
.Haskell County,"11,790",Oklahoma
.Hughes County,"13,821",Oklahoma
.Jackson County,"28,036",Oklahoma
.Jefferson County,"6,663",Oklahoma
.Johnston County,"10,505",Oklahoma
.Kay County,"47,518",Oklahoma
.Kingfisher County,"13,910",Oklahoma
.Kiowa County,"10,054",Oklahoma
.Latimer County,"10,637",Oklahoma
.Le Flore County,"48,018",Oklahoma
.Lincoln County,"32,295",Oklahoma
.Logan County,"34,657",Oklahoma
.Love County,"8,749",Oklahoma
.McClain County,"27,871",Oklahoma
.McCurtain County,"33,944",Oklahoma
.McIntosh County,"19,451",Oklahoma
.Major County,"7,575",Oklahoma
.Marshall County,"13,372",Oklahoma
.Mayes County,"38,554",Oklahoma
.Murray County,"12,689",Oklahoma
.Muskogee County,"69,428",Oklahoma
.Noble County,"11,491",Oklahoma
.Nowata County,"10,593",Oklahoma
.Okfuskee County,"11,858",Oklahoma
.Oklahoma County,"664,836",Oklahoma
.Okmulgee County,"39,618",Oklahoma
.Osage County,"45,227",Oklahoma
.Ottawa County,"33,047",Oklahoma
.Pawnee County,"16,779",Oklahoma
.Payne County,"70,132",Oklahoma
.Pittsburg County,"43,447",Oklahoma
.Pontotoc County,"34,866",Oklahoma
.Pottawatomie County,"66,222",Oklahoma
.Pushmataha County,"11,613",Oklahoma
.Roger Mills County,"3,334",Oklahoma
.Rogers County,"73,091",Oklahoma
.Seminole County,"24,719",Oklahoma
.Sequoyah County,"39,308",Oklahoma
.Stephens County,"42,796",Oklahoma
.Texas County,"19,945",Oklahoma
.Tillman County,"9,203",Oklahoma
.Tulsa County,"566,175",Oklahoma
.Wagoner County,"58,944",Oklahoma
.Washington County,"48,897",Oklahoma
.Washita County,"11,362",Oklahoma
.Woods County,"8,882",Oklahoma
.Woodward County,"18,365",Oklahoma
.Baker County,"16,618",Oregon
.Benton County,"78,491",Oregon
.Clackamas County,"343,444",Oregon
.Clatsop County,"35,509",Oregon
.Columbia County,"44,196",Oregon
.Coos County,"62,190",Oregon
.Crook County,"19,705",Oregon
.Curry County,"21,250",Oregon
.Deschutes County,"120,526",Oregon
.Douglas County,"100,562",Oregon
.Gilliam County,"1,901",Oregon
.Grant County,"7,498",Oregon
.Harney County,"7,491",Oregon
.Hood River County,"20,397",Oregon
.Jackson County,"183,835",Oregon
.Jefferson County,"19,653",Oregon
.Josephine County,"76,452",Oregon
.Klamath County,"64,139",Oregon
.Lake County,"7,538",Oregon
.Lane County,"324,855",Oregon
.Lincoln County,"43,854",Oregon
.Linn County,"103,544",Oregon
.Malheur County,"31,532",Oregon
.Marion County,"288,136",Oregon
.Morrow County,"11,043",Oregon
.Multnomah County,"669,690",Oregon
.Polk County,"63,445",Oregon
.Sherman County,"1,848",Oregon
.Tillamook County,"24,359",Oregon
.Umatilla County,"70,682",Oregon
.Union County,"24,353",Oregon
.Wallowa County,"7,112",Oregon
.Wasco County,"23,808",Oregon
.Washington County,"460,622",Oregon
.Wheeler County,"1,503",Oregon
.Yamhill County,"86,156",Oregon
.Adams County,"92,591",Pennsylvania
.Allegheny County,"1,272,416",Pennsylvania
.Armstrong County,"71,956",Pennsylvania
.Beaver County,"179,391",Pennsylvania
.Bedford County,"49,778",Pennsylvania
.Berks County,"377,487",Pennsylvania
.Blair County,"128,471",Pennsylvania
.Bradford County,"62,616",Pennsylvania
.Bucks County,"602,883",Pennsylvania
.Butler County,"175,621",Pennsylvania
.Cambria County,"150,902",Pennsylvania
.Cameron County,"5,875",Pennsylvania
.Carbon County,"59,318",Pennsylvania
.Centre County,"137,620",Pennsylvania
.Chester County,"441,024",Pennsylvania
.Clarion County,"41,547",Pennsylvania
.Clearfield County,"82,987",Pennsylvania
.Clinton County,"37,945",Pennsylvania
.Columbia County,"64,298",Pennsylvania
.Crawford County,"90,105",Pennsylvania
.Cumberland County,"215,087",Pennsylvania
.Dauphin County,"252,500",Pennsylvania
.Delaware County,"552,041",Pennsylvania
.Elk County,"34,778",Pennsylvania
.Erie County,"280,647",Pennsylvania
.Fayette County,"146,219",Pennsylvania
.Forest County,"5,355",Pennsylvania
.Franklin County,"130,604",Pennsylvania
.Fulton County,"14,201",Pennsylvania
.Greene County,"40,251",Pennsylvania
.Huntingdon County,"45,594",Pennsylvania
.Indiana County,"89,265",Pennsylvania
.Jefferson County,"45,644",Pennsylvania
.Juniata County,"22,892",Pennsylvania
.Lackawanna County,"212,692",Pennsylvania
.Lancaster County,"475,483",Pennsylvania
.Lawrence County,"94,085",Pennsylvania
.Lebanon County,"120,954",Pennsylvania
.Lehigh County,"314,823",Pennsylvania
.Luzerne County,"316,665",Pennsylvania
.Lycoming County,"118,930",Pennsylvania
.McKean County,"45,263",Pennsylvania
.Mercer County,"119,861",Pennsylvania
.Mifflin County,"46,535",Pennsylvania
.Monroe County,"143,775",Pennsylvania
.Montgomery County,"759,392",Pennsylvania
.Montour County,"18,294",Pennsylvania
.Northampton County,"269,363",Pennsylvania
.Northumberland County,"94,176",Pennsylvania
.Perry County,"43,804",Pennsylvania
.Philadelphia County,"1,505,455",Pennsylvania
.Pike County,"47,594",Pennsylvania
.Potter County,"18,146",Pennsylvania
.Schuylkill County,"149,175",Pennsylvania
.Snyder County,"37,955",Pennsylvania
.Somerset County,"79,523",Pennsylvania
.Sullivan County,"6,625",Pennsylvania
.Susquehanna County,"42,483",Pennsylvania
.Tioga County,"41,496",Pennsylvania
.Union County,"42,098",Pennsylvania
.Venango County,"57,091",Pennsylvania
.Warren County,"43,562",Pennsylvania
.Washington County,"203,179",Pennsylvania
.Wayne County,"47,994",Pennsylvania
.Westmoreland County,"368,698",Pennsylvania
.Wyoming County,"28,119",Pennsylvania
.York County,"385,773",Pennsylvania
.Bristol County,"50,942",Rhode Island
.Kent County,"168,516",Rhode Island
.Newport County,"85,754",Rhode Island
.Providence County,"626,935",Rhode Island
.Washington County,"124,995",Rhode Island
.Abbeville County,"26,330",South Carolina
.Aiken County,"143,676",South Carolina
.Allendale County,"11,022",South Carolina
.Anderson County,"168,881",South Carolina
.Bamberg County,"16,580",South Carolina
.Barnwell County,"23,406",South Carolina
.Beaufort County,"125,550",South Carolina
.Berkeley County,"145,153",South Carolina
.Calhoun County,"15,301",South Carolina
.Charleston County,"313,065",South Carolina
.Cherokee County,"53,020",South Carolina
.Chester County,"34,064",South Carolina
.Chesterfield County,"43,339",South Carolina
.Clarendon County,"32,887",South Carolina
.Colleton County,"38,339",South Carolina
.Darlington County,"67,863",South Carolina
.Dillon County,"30,995",South Carolina
.Dorchester County,"98,683",South Carolina
.Edgefield County,"24,690",South Carolina
.Fairfield County,"23,614",South Carolina
.Florence County,"126,377",South Carolina
.Georgetown County,"56,800",South Carolina
.Greenville County,"385,780",South Carolina
.Greenwood County,"66,544",South Carolina
.Hampton County,"21,262",South Carolina
.Horry County,"201,982",South Carolina
.Jasper County,"21,024",South Carolina
.Kershaw County,"53,474",South Carolina
.Lancaster County,"62,250",South Carolina
.Laurens County,"69,407",South Carolina
.Lee County,"19,957",South Carolina
.Lexington County,"220,099",South Carolina
.McCormick County,"10,095",South Carolina
.Marion County,"35,119",South Carolina
.Marlboro County,"28,606",South Carolina
.Newberry County,"36,053",South Carolina
.Oconee County,"67,170",South Carolina
.Orangeburg County,"91,536",South Carolina
.Pickens County,"111,600",South Carolina
.Richland County,"327,446",South Carolina
.Saluda County,"19,191",South Carolina
.Spartanburg County,"256,469",South Carolina
.Sumter County,"104,629",South Carolina
.Union County,"29,813",South Carolina
.Williamsburg County,"36,751",South Carolina
.York County,"169,103",South Carolina
.Aurora County,"2,946",South Dakota
.Beadle County,"16,952",South Dakota
.Bennett County,"3,518",South Dakota
.Bon Homme County,"7,169",South Dakota
.Brookings County,"28,565",South Dakota
.Brown County,"35,303",South Dakota
.Brule County,"5,179",South Dakota
.Buffalo County,"2,004",South Dakota
.Butte County,"9,120",South Dakota
.Campbell County,"1,766",South Dakota
.Charles Mix County,"9,207",South Dakota
.Clark County,"4,144",South Dakota
.Clay County,"13,627",South Dakota
.Codington County,"26,033",South Dakota
.Corson County,"4,162",South Dakota
.Custer County,"7,368",South Dakota
.Davison County,"18,868",South Dakota
.Day County,"6,090",South Dakota
.Deuel County,"4,482",South Dakota
.Dewey County,"5,907",South Dakota
.Douglas County,"3,419",South Dakota
.Edmunds County,"4,299",South Dakota
.Fall River County,"7,339",South Dakota
.Faulk County,"2,547",South Dakota
.Grant County,"7,699",South Dakota
.Gregory County,"4,632",South Dakota
.Haakon County,"2,174",South Dakota
.Hamlin County,"5,551",South Dakota
.Hand County,"3,650",South Dakota
.Hanson County,"3,263",South Dakota
.Harding County,"1,337",South Dakota
.Hughes County,"16,351",South Dakota
.Hutchinson County,"7,925",South Dakota
.Hyde County,"1,607",South Dakota
.Jackson County,"2,846",South Dakota
.Jerauld County,"2,225",South Dakota
.Jones County,"1,136",South Dakota
.Kingsbury County,"5,635",South Dakota
.Lake County,"11,143",South Dakota
.Lawrence County,"21,738",South Dakota
.Lincoln County,"26,322",South Dakota
.Lyman County,"3,879",South Dakota
.McCook County,"5,854",South Dakota
.McPherson County,"2,826",South Dakota
.Marshall County,"4,515",South Dakota
.Meade County,"24,371",South Dakota
.Mellette County,"2,070",South Dakota
.Miner County,"2,769",South Dakota
.Minnehaha County,"150,775",South Dakota
.Moody County,"6,581",South Dakota
.Pennington County,"89,953",South Dakota
.Perkins County,"3,269",South Dakota
.Potter County,"2,592",South Dakota
.Roberts County,"10,023",South Dakota
.Sanborn County,"2,553",South Dakota
.Shannon County,"12,602",South Dakota
.Spink County,"7,204",South Dakota
.Stanley County,"2,745",South Dakota
.Sully County,"1,533",South Dakota
.Todd County,"9,157",South Dakota
.Tripp County,"6,281",South Dakota
.Turner County,"8,742",South Dakota
.Union County,"12,577",South Dakota
.Walworth County,"5,812",South Dakota
.Yankton County,"21,527",South Dakota
.Ziebach County,"2,514",South Dakota
.Anderson County,"71,461",Tennessee
.Bedford County,"38,414",Tennessee
.Benton County,"16,673",Tennessee
.Bledsoe County,"12,468",Tennessee
.Blount County,"107,916",Tennessee
.Bradley County,"88,934",Tennessee
.Campbell County,"39,802",Tennessee
.Cannon County,"12,990",Tennessee
.Carroll County,"29,447",Tennessee
.Carter County,"56,770",Tennessee
.Cheatham County,"36,377",Tennessee
.Chester County,"15,856",Tennessee
.Claiborne County,"30,095",Tennessee
.Clay County,"7,921",Tennessee
.Cocke County,"33,618",Tennessee
.Coffee County,"48,594",Tennessee
.Crockett County,"14,546",Tennessee
.Cumberland County,"47,849",Tennessee
.Davidson County,"574,119",Tennessee
.Decatur County,"11,691",Tennessee
.DeKalb County,"17,498",Tennessee
.Dickson County,"43,987",Tennessee
.Dyer County,"37,156",Tennessee
.Fayette County,"30,139",Tennessee
.Fentress County,"16,711",Tennessee
.Franklin County,"39,577",Tennessee
.Gibson County,"47,973",Tennessee
.Giles County,"29,613",Tennessee
.Grainger County,"20,715",Tennessee
.Greene County,"63,622",Tennessee
.Grundy County,"14,156",Tennessee
.Hamblen County,"58,710",Tennessee
.Hamilton County,"310,254",Tennessee
.Hancock County,"6,814",Tennessee
.Hardeman County,"28,125",Tennessee
.Hardin County,"25,737",Tennessee
.Hawkins County,"54,032",Tennessee
.Haywood County,"19,822",Tennessee
.Henderson County,"25,744",Tennessee
.Henry County,"31,214",Tennessee
.Hickman County,"22,788",Tennessee
.Houston County,"8,051",Tennessee
.Humphreys County,"18,060",Tennessee
.Jackson County,"11,208",Tennessee
.Jefferson County,"45,111",Tennessee
.Johnson County,"17,709",Tennessee
.Knox County,"385,823",Tennessee
.Lake County,"8,009",Tennessee
.Lauderdale County,"27,359",Tennessee
.Lawrence County,"39,994",Tennessee
.Lewis County,"11,483",Tennessee
.Lincoln County,"31,515",Tennessee
.Loudon County,"40,093",Tennessee
.McMinn County,"49,711",Tennessee
.McNairy County,"24,571",Tennessee
.Macon County,"20,830",Tennessee
.Madison County,"92,985",Tennessee
.Marion County,"27,807",Tennessee
.Marshall County,"27,130",Tennessee
.Maury County,"69,789",Tennessee
.Meigs County,"11,162",Tennessee
.Monroe County,"39,371",Tennessee
.Montgomery County,"136,801",Tennessee
.Moore County,"5,778",Tennessee
.Morgan County,"20,161",Tennessee
.Obion County,"32,370",Tennessee
.Overton County,"20,299",Tennessee
.Perry County,"7,478",Tennessee
.Pickett County,"4,999",Tennessee
.Polk County,"16,361",Tennessee
.Putnam County,"63,130",Tennessee
.Rhea County,"28,601",Tennessee
.Roane County,"52,166",Tennessee
.Robertson County,"55,861",Tennessee
.Rutherford County,"189,901",Tennessee
.Scott County,"21,481",Tennessee
.Sequatchie County,"11,470",Tennessee
.Sevier County,"73,563",Tennessee
.Shelby County,"899,345",Tennessee
.Smith County,"17,962",Tennessee
.Stewart County,"12,548",Tennessee
.Sullivan County,"152,718",Tennessee
.Sumner County,"133,681",Tennessee
.Tipton County,"52,696",Tennessee
.Trousdale County,"7,350",Tennessee
.Unicoi County,"17,642",Tennessee
.Union County,"18,322",Tennessee
.Van Buren County,"5,475",Tennessee
.Warren County,"38,566",Tennessee
.Washington County,"107,775",Tennessee
.Wayne County,"17,075",Tennessee
.Weakley County,"34,491",Tennessee
.White County,"23,468",Tennessee
.Williamson County,"132,536",Tennessee
.Wilson County,"91,020",Tennessee
.Anderson County,"54,263",Texas
.Andrews County,"12,856",Texas
.Angelina County,"80,273",Texas
.Aransas County,"22,287",Texas
.Archer County,"8,849",Texas
.Armstrong County,"2,128",Texas
.Atascosa County,"39,828",Texas
.Austin County,"24,341",Texas
.Bailey County,"6,636",Texas
.Bandera County,"18,125",Texas
.Bastrop County,"61,106",Texas
.Baylor County,"3,930",Texas
.Bee County,"31,695",Texas
.Bell County,"244,299",Texas
.Bexar County,"1,419,020",Texas
.Blanco County,"8,776",Texas
.Borden County,677,Texas
.Bosque County,"17,338",Texas
.Bowie County,"88,942",Texas
.Brazoria County,"248,280",Texas
.Brazos County,"155,533",Texas
.Brewster County,"8,836",Texas
.Briscoe County,"1,764",Texas
.Brooks County,"7,669",Texas
.Brown County,"37,599",Texas
.Burleson County,"16,650",Texas
.Burnet County,"35,741",Texas
.Caldwell County,"33,654",Texas
.Calhoun County,"20,762",Texas
.Callahan County,"12,703",Texas
.Cameron County,"342,368",Texas
.Camp County,"11,399",Texas
.Carson County,"6,385",Texas
.Cass County,"30,134",Texas
.Castro County,"8,155",Texas
.Chambers County,"26,811",Texas
.Cherokee County,"47,007",Texas
.Childress County,"7,531",Texas
.Clay County,"11,131",Texas
.Cochran County,"3,674",Texas
.Coke County,"3,810",Texas
.Coleman County,"9,103",Texas
.Collin County,"534,642",Texas
.Collingsworth County,"3,086",Texas
.Colorado County,"20,125",Texas
.Comal County,"80,630",Texas
.Comanche County,"13,710",Texas
.Concho County,"3,921",Texas
.Cooke County,"36,844",Texas
.Coryell County,"74,083",Texas
.Cottle County,"1,774",Texas
.Crane County,"3,893",Texas
.Crockett County,"3,844",Texas
.Crosby County,"6,955",Texas
.Culberson County,"2,865",Texas
.Dallam County,"6,210",Texas
.Dallas County,"2,249,418",Texas
.Dawson County,"14,863",Texas
.Deaf Smith County,"18,391",Texas
.Delta County,"5,295",Texas
.Denton County,"463,688",Texas
.DeWitt County,"20,066",Texas
.Dickens County,"2,653",Texas
.Dimmit County,"10,030",Texas
.Donley County,"3,829",Texas
.Duval County,"12,830",Texas
.Eastland County,"18,061",Texas
.Ector County,"120,802",Texas
.Edwards County,"2,070",Texas
.Ellis County,"115,286",Texas
.El Paso County,"689,163",Texas
.Erath County,"33,045",Texas
.Falls County,"18,280",Texas
.Fannin County,"31,400",Texas
.Fayette County,"22,397",Texas
.Fisher County,"4,257",Texas
.Floyd County,"7,452",Texas
.Foard County,"1,606",Texas
.Fort Bend County,"375,708",Texas
.Franklin County,"9,521",Texas
.Freestone County,"18,127",Texas
.Frio County,"16,315",Texas
.Gaines County,"14,451",Texas
.Galveston County,"254,521",Texas
.Garza County,"5,275",Texas
.Gillespie County,"21,104",Texas
.Glasscock County,"1,351",Texas
.Goliad County,"7,020",Texas
.Gonzales County,"18,714",Texas
.Gray County,"22,171",Texas
.Grayson County,"112,330",Texas
.Gregg County,"111,791",Texas
.Grimes County,"24,219",Texas
.Guadalupe County,"92,626",Texas
.Hale County,"35,876",Texas
.Hall County,"3,750",Texas
.Hamilton County,"8,169",Texas
.Hansford County,"5,299",Texas
.Hardeman County,"4,609",Texas
.Hardin County,"48,463",Texas
.Harris County,"3,471,291",Texas
.Harrison County,"62,256",Texas
.Hartley County,"5,601",Texas
.Haskell County,"6,034",Texas
.Hays County,"104,739",Texas
.Hemphill County,"3,327",Texas
.Henderson County,"73,762",Texas
.Hidalgo County,"590,067",Texas
.Hill County,"32,766",Texas
.Hockley County,"22,662",Texas
.Hood County,"42,425",Texas
.Hopkins County,"32,203",Texas
.Houston County,"23,122",Texas
.Howard County,"33,279",Texas
.Hudspeth County,"3,405",Texas
.Hunt County,"78,431",Texas
.Hutchinson County,"23,247",Texas
.Irion County,"1,673",Texas
.Jack County,"8,710",Texas
.Jackson County,"14,187",Texas
.Jasper County,"35,722",Texas
.Jeff Davis County,"2,234",Texas
.Jefferson County,"250,137",Texas
.Jim Hogg County,"5,194",Texas
.Jim Wells County,"39,701",Texas
.Johnson County,"130,795",Texas
.Jones County,"20,294",Texas
.Karnes County,"15,340",Texas
.Kaufman County,"75,223",Texas
.Kendall County,"24,433",Texas
.Kenedy County,421,Texas
.Kent County,808,Texas
.Kerr County,"44,331",Texas
.Kimble County,"4,494",Texas
.King County,313,Texas
.Kinney County,"3,419",Texas
.Kleberg County,"31,315",Texas
.Knox County,"4,070",Texas
.Lamar County,"48,522",Texas
.Lamb County,"14,566",Texas
.Lampasas County,"18,027",Texas
.La Salle County,"5,934",Texas
.Lavaca County,"18,958",Texas
.Lee County,"16,008",Texas
.Leon County,"15,452",Texas
.Liberty County,"71,679",Texas
.Limestone County,"22,159",Texas
.Lipscomb County,"2,948",Texas
.Live Oak County,"12,071",Texas
.Llano County,"17,499",Texas
.Loving County,66,Texas
.Lubbock County,"246,616",Texas
.Lynn County,"6,444",Texas
.McCulloch County,"8,034",Texas
.McLennan County,"215,099",Texas
.McMullen County,819,Texas
.Madison County,"13,680",Texas
.Marion County,"11,077",Texas
.Martin County,"4,697",Texas
.Mason County,"3,743",Texas
.Matagorda County,"37,804",Texas
.Maverick County,"47,594",Texas
.Medina County,"40,053",Texas
.Menard County,"2,321",Texas
.Midland County,"116,180",Texas
.Milam County,"24,445",Texas
.Mills County,"4,983",Texas
.Mitchell County,"9,576",Texas
.Montague County,"19,196",Texas
.Montgomery County,"311,437",Texas
.Moore County,"20,281",Texas
.Morris County,"13,179",Texas
.Motley County,"1,340",Texas
.Nacogdoches County,"59,541",Texas
.Navarro County,"45,577",Texas
.Newton County,"15,023",Texas
.Nolan County,"15,503",Texas
.Nueces County,"313,670",Texas
.Ochiltree County,"9,134",Texas
.Oldham County,"2,132",Texas
.Orange County,"84,108",Texas
.Palo Pinto County,"27,128",Texas
.Panola County,"22,773",Texas
.Parker County,"91,660",Texas
.Parmer County,"9,842",Texas
.Pecos County,"16,284",Texas
.Polk County,"42,945",Texas
.Potter County,"114,307",Texas
.Presidio County,"7,409",Texas
.Rains County,"9,664",Texas
.Randall County,"105,399",Texas
.Reagan County,"3,230",Texas
.Real County,"3,020",Texas
.Red River County,"14,156",Texas
.Reeves County,"13,022",Texas
.Refugio County,"7,765",Texas
.Roberts County,880,Texas
.Robertson County,"16,132",Texas
.Rockwall County,"46,697",Texas
.Runnels County,"11,148",Texas
.Rusk County,"47,837",Texas
.Sabine County,"10,435",Texas
.San Augustine County,"8,860",Texas
.San Jacinto County,"22,897",Texas
.San Patricio County,"66,690",Texas
.San Saba County,"6,181",Texas
.Schleicher County,"3,016",Texas
.Scurry County,"15,838",Texas
.Shackelford County,"3,334",Texas
.Shelby County,"25,171",Texas
.Sherman County,"3,131",Texas
.Smith County,"177,836",Texas
.Somervell County,"7,017",Texas
.Starr County,"54,294",Texas
.Stephens County,"9,455",Texas
.Sterling County,"1,341",Texas
.Stonewall County,"1,568",Texas
.Sutton County,"4,032",Texas
.Swisher County,"8,248",Texas
.Tarrant County,"1,490,204",Texas
.Taylor County,"125,920",Texas
.Terrell County,"1,017",Texas
.Terry County,"12,473",Texas
.Throckmorton County,"1,791",Texas
.Titus County,"28,100",Texas
.Tom Green County,"103,923",Texas
.Travis County,"844,877",Texas
.Trinity County,"13,852",Texas
.Tyler County,"20,657",Texas
.Upshur County,"35,746",Texas
.Upton County,"3,231",Texas
.Uvalde County,"25,939",Texas
.Val Verde County,"45,144",Texas
.Van Zandt County,"48,932",Texas
.Victoria County,"84,491",Texas
.Walker County,"62,444",Texas
.Waller County,"33,747",Texas
.Ward County,"10,459",Texas
.Washington County,"30,433",Texas
.Webb County,"200,347",Texas
.Wharton County,"40,991",Texas
.Wheeler County,"5,170",Texas
.Wichita County,"130,790",Texas
.Wilbarger County,"14,299",Texas
.Willacy County,"20,016",Texas
.Williamson County,"276,940",Texas
.Wilson County,"33,408",Texas
.Winkler County,"7,056",Texas
.Wise County,"50,927",Texas
.Wood County,"37,288",Texas
.Yoakum County,"7,299",Texas
.Young County,"17,659",Texas
.Zapata County,"12,266",Texas
.Zavala County,"11,596",Texas
.Beaver County,"5,999",Utah
.Box Elder County,"43,362",Utah
.Cache County,"92,831",Utah
.Carbon County,"19,937",Utah
.Daggett County,929,Utah
.Davis County,"244,687",Utah
.Duchesne County,"14,652",Utah
.Emery County,"10,614",Utah
